time,contact_index,geom1,geom2,pos_x,pos_y,pos_z,force_cx,force_cy,force_cz,torque_cx,torque_cy,torque_cz,normal_x,normal_y,normal_z,tangent1_x,tangent1_y,tangent1_z,tangent2_x,tangent2_y,tangent2_z
0.002,0,ground,-1,-0.05,-0.1,-0.004999999999999994,1.091240063592674,2.946289162605616e-14,4.951497730238526e-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0
0.002,1,ground,-1,-0.05,-0.08000000000000002,-0.004999999999999994,1.0912400635927078,1.8650912231052763e-14,2.446045238020326e-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0
0.002,2,ground,-1,-0.05,-0.06,-0.004999999999999994,1.0912400635927415,7.838932836049346e-15,-5.940725419787807e-16,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0
0.002,3,ground,-1,-0.049999999999999996,-0.039999999999999994,-0.004999999999999994,1.091240063592809,-2.973046558954047e-15,-2.5648597464160774e-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0
0.002,4,ground,-1,-0.05,-0.019999999999999987,-0.004999999999999994,1.091240063592809,-1.3785025953957455e-14,-5.070312238634279e-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0
0.002,5,ground,-1,-0.05,2.7755575615628915e-18,-0.004999999999999994,1.0912400635928428,-2.4597005348960857e-14,-7.575764730852481e-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0
0.002,6,ground,-1,-0.05,0.019999999999999993,-0.004999999999999994,1.0912400635928765,-3.540898474396426e-14,-1.008121722307068e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0
0.002,7,ground,-1,-0.05,0.039999999999999994,-0.004999999999999994,1.0912400635929103,-4.6220964138967656e-14,-1.2586669715288882e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0
0.002,8,ground,-1,-0.05,0.060000000000000026,-0.004999999999999994,1.091240063592944,-5.703294353397108e-14,-1.5092122207507088e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0
0.002,9,ground,-1,-0.05,0.08000000000000002,-0.004999999999999994,1.0912400635929778,-6.784492292897448e-14,-1.7597574699725286e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0
0.002,10,ground,-1,-0.05,0.1,-0.004999999999999994,1.0912400635930115,-7.865690232397788e-14,-2.0103027191943486e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0
0.002,11,ground,-1,-0.030000000000000006,-0.10000000000000002,-0.004999999999999994,1.0912400635927415,1.7674441948888576e-14,4.570569046917073e-15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0
0.002,12,ground,-1,-0.03,-0.08000000000000002,-0.004999999999999994,1.0912400635927415,9.810330062190463e-15,-9.42945271912008e-15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0
0.002,13,ground,-1,-0.030000000000000006,-0.06,-0.004999999999999994,1.0912400635927753,1.946218175492351e-15,-2.3429474485157252e-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0
0.002,14,ground,-1,-0.029999999999999995,-0.039999999999999994,-0.004999999999999994,1.0912400635928765,-5.917893711205755e-15,-3.74294962511944e-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0
0.002,15,ground,-1,-0.03000000000000001,-0.01999999999999999,-0.004999999999999994,1.0912400635928765,-1.3782005597903868e-14,-5.142951801723156e-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0
0.002,16,ground,-1,-0.030000000000000002,2.2898349882893855e-18,-0.004999999999999994,1.0912400635928765,-2.1646117484601968e-14,-6.542953978326872e-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0
0.002,17,ground,-1,-0.030000000000000006,0.019999999999999997,-0.004999999999999994,1.091240063592944,-2.951022937130009e-14,-7.942956154930588e-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0
0.002,18,ground,-1,-0.03,0.03999999999999998,-0.004999999999999994,1.0912400635929778,-3.737434125799818e-14,-9.342958331534301e-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0
0.002,19,ground,-1,-0.030000000000000006,0.060000000000000026,-0.004999999999999994,1.091240063592944,-4.5238453144696306e-14,-1.074296050813802e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0
0.002,20,ground,-1,-0.03,0.08000000000000002,-0.004999999999999994,1.0912400635930115,-5.310256503139442e-14,-1.2142962684741735e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0
0.002,21,ground,-1,-0.030000000000000006,0.10000000000000002,-0.004999999999999994,1.0912400635930115,-6.096667691809252e-14,-1.354296486134545e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0
0.002,22,ground,-1,-0.009999999999999992,-0.1,-0.004999999999999994,1.0912400635928765,5.88599227172098e-15,-4.037383920855112e-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0
0.002,23,ground,-1,-0.009999999999999998,-0.08000000000000002,-0.004999999999999994,1.0912400635928765,9.697478933281677e-16,-4.331935781844342e-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0
0.002,24,ground,-1,-0.009999999999999995,-0.059999999999999984,-0.004999999999999994,1.0912400635928765,-3.946496485064652e-15,-4.626487642833572e-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0
0.002,25,ground,-1,-0.01,-0.04000000000000001,-0.004999999999999994,1.0912400635929105,-8.862740863457462e-15,-4.921039503822802e-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0
0.002,26,ground,-1,-0.009999999999999997,-0.019999999999999993,-0.004999999999999994,1.091240063592944,-1.3778985241850275e-14,-5.215591364812031e-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0
0.002,27,ground,-1,-0.009999999999999995,1.1102230246251568e-18,-0.004999999999999994,1.0912400635929778,-1.8695229620243088e-14,-5.510143225801261e-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0
0.002,28,ground,-1,-0.009999999999999998,0.019999999999999993,-0.004999999999999994,1.0912400635929778,-2.36114739986359e-14,-5.804695086790492e-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0
0.002,29,ground,-1,-0.010000000000000002,0.039999999999999994,-0.004999999999999994,1.0912400635930115,-2.852771837702872e-14,-6.099246947779721e-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0
0.002,30,ground,-1,-0.009999999999999993,0.06000000000000001,-0.004999999999999994,1.0912400635930453,-3.3443962755421534e-14,-6.393798808768951e-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0
0.002,31,ground,-1,-0.01,0.08000000000000002,-0.004999999999999994,1.0912400635930453,-3.8360207133814356e-14,-6.688350669758182e-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0
0.002,32,ground,-1,-0.009999999999999993,0.1,-0.004999999999999994,1.091240063593079,-4.3276451512207153e-14,-6.982902530747411e-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0
0.002,33,ground,-1,0.009999999999999998,-0.1,-0.004999999999999994,1.091240063592944,-5.902457405446609e-15,-8.53182474640193e-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0
0.002,34,ground,-1,0.010000000000000004,-0.08000000000000002,-0.004999999999999994,1.091240063592944,-7.87083427553413e-15,-7.720926291776675e-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0
0.002,35,ground,-1,0.009999999999999997,-0.05999999999999999,-0.004999999999999994,1.0912400635929442,-9.839211145621649e-15,-6.91002783715142e-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0
0.002,36,ground,-1,0.010000000000000005,-0.039999999999999994,-0.004999999999999994,1.0912400635930115,-1.1807588015709167e-14,-6.099129382526164e-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0
0.002,37,ground,-1,0.009999999999999995,-0.01999999999999999,-0.004999999999999994,1.0912400635930115,-1.3775964885796687e-14,-5.2882309279009095e-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0
0.002,38,ground,-1,0.009999999999999995,1.6653345369377347e-18,-0.004999999999999994,1.0912400635930115,-1.5744341755884205e-14,-4.477332473275653e-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0
0.002,39,ground,-1,0.009999999999999997,0.02,-0.004999999999999994,1.0912400635930453,-1.7712718625971725e-14,-3.666434018650397e-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0
0.002,40,ground,-1,0.010000000000000004,0.039999999999999994,-0.004999999999999994,1.091240063593079,-1.9681095496059242e-14,-2.855535564025141e-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0
